                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    141,                0.81027,                0.34436,                0.94739,                 0.9985,                0.99587,                  0.995,                0.82243,                0.70326,                0.28318,                0.85757,               0.008471,               0.008471,               0.008471
                    142,                0.81846,                0.34668,                0.94279,                 0.9984,                0.99662,                  0.995,                0.81211,                0.71501,                0.28463,                0.86018,                0.00846,                0.00846,                0.00846
                    143,                0.80479,                0.34441,                0.93719,                0.99796,                0.99452,                0.99499,                0.79623,                0.76729,                 0.2947,                0.87216,               0.008449,               0.008449,               0.008449
                    144,                0.81658,                0.34894,                0.94538,                0.99927,                0.99596,                  0.995,                0.80807,                0.72757,                 0.2907,                 0.8591,               0.008438,               0.008438,               0.008438
                    145,                0.80768,                 0.3476,                0.93884,                0.99874,                0.99528,                  0.995,                0.81483,                0.70389,                0.29714,                0.85546,               0.008427,               0.008427,               0.008427
                    146,                0.80484,                0.34196,                0.94553,                0.99857,                0.99628,                  0.995,                0.81376,                0.71242,                0.28855,                0.85938,               0.008416,               0.008416,               0.008416
                    147,                0.79995,                 0.3459,                 0.9405,                0.99787,                 0.9943,                0.99499,                0.80282,                0.74181,                0.29258,                0.86266,               0.008405,               0.008405,               0.008405
                    148,                 0.8086,                0.34542,                0.93574,                 0.9986,                0.99623,                  0.995,                0.82298,                0.71479,                 0.2855,                0.85643,               0.008394,               0.008394,               0.008394
                    149,                0.79151,                0.33412,                0.93875,                0.99848,                0.99652,                  0.995,                0.81188,                0.74281,                0.28753,                0.86367,               0.008383,               0.008383,               0.008383
                    150,                0.79717,                0.34926,                0.93954,                0.99855,                0.99699,                  0.995,                0.81489,                0.71104,                0.28486,                0.85558,               0.008372,               0.008372,               0.008372
                    151,                0.80725,                 0.3471,                0.94225,                0.99922,                 0.9958,                  0.995,                0.82083,                0.70131,                0.28353,                0.85461,               0.008361,               0.008361,               0.008361
                    152,                0.80338,                0.34149,                0.94273,                0.99777,                0.99463,                0.99499,                0.81967,                0.72324,                0.28211,                0.85861,                0.00835,                0.00835,                0.00835
                    153,                0.79715,                0.34075,                0.94749,                0.99826,                0.99638,                  0.995,                0.82808,                0.70354,                0.28014,                0.85517,               0.008339,               0.008339,               0.008339
                    154,                0.80423,                 0.3423,                0.94594,                0.99893,                0.99555,                  0.995,                0.81447,                0.72263,                0.28707,                0.85885,               0.008328,               0.008328,               0.008328
                    155,                0.80135,                0.34431,                0.93999,                 0.9992,                0.99594,                  0.995,                 0.8204,                0.71628,                  0.285,                0.85581,               0.008317,               0.008317,               0.008317
                    156,                0.80068,                0.33929,                0.93748,                0.99816,                0.99673,                  0.995,                0.82054,                0.71029,                0.28416,                 0.8557,               0.008306,               0.008306,               0.008306
                    157,                0.80816,                0.34469,                0.94175,                0.99906,                0.99604,                  0.995,                  0.814,                 0.7224,                0.28724,                0.85907,               0.008295,               0.008295,               0.008295
                    158,                0.79907,                0.34361,                0.93787,                0.99887,                 0.9972,                  0.995,                 0.8226,                0.71349,                0.27787,                0.85473,               0.008284,               0.008284,               0.008284
                    159,                0.79642,                0.34198,                0.94506,                0.99882,                0.99657,                  0.995,                0.81385,                0.71692,                0.28108,                0.85701,               0.008273,               0.008273,               0.008273
                    160,                0.80132,                0.34268,                0.93832,                0.99797,                0.99765,                  0.995,                 0.8087,                0.72534,                0.28622,                0.86128,               0.008262,               0.008262,               0.008262
                    161,                0.79636,                0.34069,                0.94182,                 0.9984,                0.99676,                  0.995,                 0.8209,                0.72838,                 0.2885,                0.86119,               0.008251,               0.008251,               0.008251
